konsiltan	k-on-s-i-l-t-an
kontraseptif	k-on-t-r-a-s-e-p-t-i-f
pastiy	p-a-s-t-i-y
devwa	d-e-v-w-a
pwa	p-w-a
kidonk	k-i-d-on-k
apèn	a-p-è-n
fenotipik	f-e-n-o-t-i-p-i-k
Pwòspè	P-w-ò-s-p-è
travo	t-r-a-v-o
dedan	d-e-d-an
selil	s-e-l-i-l
antrav	an-t-r-a-v
oswa	o-s-w-a
Pèsival	P-è-s-i-v-a-l
predetèmine	p-r-e-d-e-t-è-m-i-n-e
ransè	r-an-s-è
konpi	k-on-p-i
esplandè	e-s-p-l-an-d-è
envès	en-v-è-s
aysisyen	a-y-s-i-s-y-en
klèje	k-l-è-j-e
ènyèm	è-n-y-è-m
òtopedis	ò-t-o-p-e-d-i-s
krab	k-r-a-b
ide	i-d-e
sibvansyonman	s-i-b-v-an-s-y-on-m-an
jidisyè	j-i-d-i-s-y-è
mande	m-an-d-e
asetòn	a-s-e-t-ò-n
pansyon	p-an-s-y-on
ekipman	e-k-i-p-m-an
miyò	m-i-y-ò
Elizabèt	E-l-i-z-a-b-è-t
kolektè	k-o-l-e-k-t-è
patwone	p-a-t-w-o-n-e
repatisyon	r-e-p-a-t-i-s-y-on
desè	d-e-s-è
estabilizasyon	e-s-t-a-b-i-l-i-z-a-s-y-on
sosyalis	s-o-s-y-a-l-i-s
lenstriksyon	l-en-s-t-r-i-k-s-y-on
ekspektoran	e-k-s-p-e-k-t-o-r-an
zanmimo	z-an-m-i-m-o
jantiy	j-an-t-i-y
zafè	z-a-f-è
pwotege	p-w-o-t-e-g-e
Feliks	F-e-l-i-k-s
eskalade	e-s-k-a-l-a-d-e
chè	ch-è
endekse	en-d-e-k-s-e
anje	an-j-e
dire	d-i-r-e
kolasyon	k-o-l-a-s-y-on
karateristik	k-a-r-a-t-e-r-i-s-t-i-k
Bèlgad	B-è-l-g-a-d
rasin	r-a-s-i-n
Pewoden	P-e-w-o-d-en
konnen	k-on-n-en
etan	e-t-an
vejetab	v-e-j-e-t-a-b
obezite	o-b-e-z-i-t-e
salpèt	s-a-l-p-è-t
Misouri	M-i-s-ou-r-i
entènasyonal	en-t-è-n-a-s-y-o-n-a-l
diplikata	d-i-p-l-i-k-a-t-a
sisanmil	s-i-s-an-m-i-l
klisay	k-l-i-s-a-y
dekonpozisyon	d-e-k-on-p-o-z-i-s-y-on
karayibeyen	k-a-r-a-y-i-b-e-y-en
mamit	m-a-m-i-t
chankre	ch-an-k-r-e
Andora	An-d-o-r-a
charitab	ch-a-r-i-t-a-b
Kristòf	K-r-i-s-t-ò-f
bourara	b-ou-r-a-r-a
sant	s-an-t
Lawòch	L-a-w-ò-ch
pal	p-a-l
motè	m-o-t-è
ilizyon	i-l-i-z-y-on
Jedeyon	J-e-d-e-y-on
konfliktyèl	k-on-f-l-i-k-t-y-è-l
labanyè	l-a-b-a-n-y-è
gala	g-a-l-a
espètiz	e-s-p-è-t-i-z
òf	ò-f
orevwa	o-r-e-v-w-a
bouch	b-ou-ch
swit	s-w-i-t
mòfolojik	m-ò-f-o-l-o-j-i-k
resablans	r-e-s-a-b-l-an-s
gaye	g-a-y-e
anmèdan	an-m-è-d-an
pwenvigil	p-w-en-v-i-g-i-l
Gwomang	G-w-o-m-a-ng
tewori	t-e-w-o-r-i
awozaj	a-w-o-z-a-j
Galarad	G-a-l-a-r-a-d
odas	o-d-a-s
elvè	e-l-v-è
ralanti	r-a-l-an-t-i
zatouyèt	z-a-t-ou-y-è-t
atizana	a-t-i-z-a-n-a
manmi	m-an-m-i
kawochou	k-a-w-o-ch-ou
pò	p-ò
kilpabilite	k-i-l-p-a-b-i-l-i-t-e
estène	e-s-t-è-n-e
frèt	f-r-è-t
terapis	t-e-r-a-p-i-s
kolore	k-o-l-o-r-e
jerenons	j-e-r-e-n-on-s
sèvè	s-è-v-è
pwose	p-w-o-s-e
Oryan	O-r-y-an
sig	s-i-g
Lesly	L-e-s-l-y
vize	v-i-z-e
predika	p-r-e-d-i-k-a
pwatann	p-w-a-t-an-n
piten	p-i-t-en
sitirè	s-i-t-i-r-è
antik	an-t-i-k
lasante	l-a-s-an-t-e
dezinyon	d-e-z-i-n-y-on
rekonstwi	r-e-k-on-s-t-w-i
direktif	d-i-r-e-k-t-i-f
regwoupman	r-e-g-w-ou-p-m-an
Noye	N-o-y-e
twaze	t-w-a-z-e
etènite	e-t-è-n-i-t-e
kategorikman	k-a-t-e-g-o-r-i-k-m-an
liste	l-i-s-t-e
Lasereng	L-a-s-e-r-e-ng
blouz	b-l-ou-z
fristrasyon	f-r-i-s-t-r-a-s-y-on
debwouyay	d-e-b-w-ou-y-a-y
landemen	l-an-d-e-m-en
Dezòmo	D-e-z-ò-m-o
Baamas	B-a-a-m-a-s
mistifye	m-i-s-t-i-f-y-e
federasyon	f-e-d-e-r-a-s-y-on
flou	f-l-ou
rapido	r-a-p-i-d-o
fasilitatè	f-a-s-i-l-i-t-a-t-è
posibilite	p-o-s-i-b-i-l-i-t-e
rès	r-è-s
teleko	t-e-l-e-k-o
lijyèn	l-i-j-y-è-n
fòje	f-ò-j-e
Malbranch	M-a-l-b-r-an-ch
enviwonnman	en-v-i-w-on-n-m-an
mikwòb	m-i-k-w-ò-b
rekalkile	r-e-k-a-l-k-i-l-e
fòmatè	f-ò-m-a-t-è
sèjan	s-è-j-an
plè	p-l-è
donasyon	d-o-n-a-s-y-on
tate	t-a-t-e
lakou	l-a-k-ou
presedan	p-r-e-s-e-d-an
adiltè	a-d-i-l-t-è
grigri	g-r-i-g-r-i
Brinèt	B-r-i-n-è-t
defigire	d-e-f-i-g-i-r-e
pasyan	p-a-s-y-an
otomatik	o-t-o-m-a-t-i-k
Jezabèl	J-e-z-a-b-è-l
senk	s-en-k
Brazavil	B-r-a-z-a-v-i-l
kasik	k-a-s-i-k
degizman	d-e-g-i-z-m-an
kilès	k-i-l-è-s
Logipam	L-o-g-i-p-a-m
Monbenkwochi	M-on-b-en-k-w-o-ch-i
Makajou	M-a-k-a-j-ou
dividann	d-i-v-i-d-an-n
Delira	D-e-l-i-r-a
amande	a-m-an-d-e
Poto	P-o-t-o
esprè	e-s-p-r-è
tafya	t-a-f-y-a
gramè	g-r-a-m-è
Èzili	È-z-i-l-i
plante	p-l-an-t-e
bouyon	b-ou-y-on
imèl	i-m-è-l
kontrèman	k-on-t-r-è-m-an
agase	a-g-a-s-e
koyerans	k-o-y-e-r-an-s
pèsiste	p-è-s-i-s-t-e
tòchonnen	t-ò-ch-on-n-en
miyèt	m-i-y-è-t
Doura	D-ou-r-a
Kazal	K-a-z-a-l
dechouke	d-e-ch-ou-k-e
Gregwa	G-r-e-g-w-a
degouden	d-e-g-ou-d-en
kareman	k-a-r-e-m-an
pap	p-a-p
mesaje	m-e-s-a-j-e
manitansyonè	m-a-n-i-t-an-s-y-o-n-è
apwovizyone	a-p-w-o-v-i-z-y-o-n-e
reto	r-e-t-o
eksplozif	e-k-s-p-l-o-z-i-f
ansi	an-s-i
tranchman	t-r-an-ch-m-an
patènèl	p-a-t-è-n-è-l
sesyon	s-e-s-y-on
atifis	a-t-i-f-i-s
jalon	j-a-l-on
Travèsyè	T-r-a-v-è-s-y-è
Jantile	J-an-t-i-l-e
mwayennoryan	m-w-a-y-en-n-o-r-y-an
pajwèb	p-a-j-w-è-b
revandike	r-e-v-an-d-i-k-e
malgreke	m-a-l-g-r-e-k-e
èkondisyone	è-k-on-d-i-s-y-o-n-e
enterè	en-t-e-r-è
pwofane	p-w-o-f-a-n-e
demantle	d-e-m-an-t-l-e
fòme	f-ò-m-e
entèwogatwa	en-t-è-w-o-g-a-t-w-a
rezistan	r-e-z-i-s-t-an
inospitalye	i-n-o-s-p-i-t-a-l-y-e
daktilografik	d-a-k-t-i-l-o-g-r-a-f-i-k
fyè	f-y-è
zanmi	z-an-m-i
wotasyon	w-o-t-a-s-y-on
Montès	M-on-t-è-s
lamama	l-a-m-a-m-a
bèkèkè	b-è-k-è-k-è
notarye	n-o-t-a-r-y-e
trichè	t-r-i-ch-è
kontsriktè	k-on-t-s-r-i-k-t-è
likratif	l-i-k-r-a-t-i-f
peny	p-en-y
jivenil	j-i-v-e-n-i-l
patdantifris	p-a-t-d-an-t-i-f-r-i-s
prè	p-r-è
antretyen	an-t-r-e-t-y-en
baz	b-a-z
krib	k-r-i-b
Flerival	F-l-e-r-i-v-a-l
balanse	b-a-l-an-s-e
tribòbabò	t-r-i-b-ò-b-a-b-ò
rekonsidere	r-e-k-on-s-i-d-e-r-e
mikwogram	m-i-k-w-o-g-r-a-m
anfen	an-f-en
ankonbran	an-k-on-b-r-an
gozye	g-o-z-y-e
kapte	k-a-p-t-e
sèv	s-è-v
konsiderasyon	k-on-s-i-d-e-r-a-s-y-on
patko	p-a-t-k-o
akouche	a-k-ou-ch-e
devyasyon	d-e-v-y-a-s-y-on
ensèk	en-s-è-k
konvètisè	k-on-v-è-t-i-s-è
rit	r-i-t
Miryèl	M-i-r-y-è-l
enskri	en-s-k-r-i
imen	i-m-en
ministeryèl	m-i-n-i-s-t-e-r-y-è-l
brase	b-r-a-s-e
konsantrasyon	k-on-s-an-t-r-a-s-y-on
eponj	e-p-on-j
pwadtchous	p-w-a-d-t-ch-ou-s
abandone	a-b-an-d-o-n-e
alokasyon	a-l-o-k-a-s-y-on
konkirans	k-on-k-i-r-an-s
pètinan	p-è-t-i-n-an
transplante	t-r-an-s-p-l-an-t-e
Otoman	O-t-o-m-an
lofrann	l-o-f-r-an-n
karang	k-a-r-a-ng
vwa	v-w-a
geriya	g-e-r-i-y-a
vaporizatè	v-a-p-o-r-i-z-a-t-è
sousye	s-ou-s-y-e
Obòy	O-b-ò-y
blòg	b-l-ò-g
Gladis	G-l-a-d-i-s
reyèl	r-e-y-è-l
kostim	k-o-s-t-i-m
Zila	Z-i-l-a
Jabès	J-a-b-è-s
ann	an-n
rafrechi	r-a-f-r-e-ch-i
repa	r-e-p-a
antidemokratik	an-t-i-d-e-m-o-k-r-a-t-i-k
pwogrè	p-w-o-g-r-è
etanasyon	e-t-a-n-a-s-y-on
bobo	b-o-b-o
konparativman	k-on-p-a-r-a-t-i-v-m-an
karyann	k-a-r-y-an-n
anbarase	an-b-a-r-a-s-e
anfatik	an-f-a-t-i-k
frisonnen	f-r-i-s-on-n-en
rankontre	r-an-k-on-t-r-e
delye	d-e-l-y-e
kolosal	k-o-l-o-s-a-l
plak	p-l-a-k
Evlin	E-v-l-i-n
anilasyon	a-n-i-l-a-s-y-on
labrin	l-a-b-r-i-n
deskriptif	d-e-s-k-r-i-p-t-i-f
monnen	m-on-n-en
kouvepla	k-ou-v-e-p-l-a
zaboka	z-a-b-o-k-a
Mèsidye	M-è-s-i-d-y-e
twitè	t-w-i-t-è
domèn	d-o-m-è-n
parapè	p-a-r-a-p-è
edifye	e-d-i-f-y-e
liks	l-i-k-s
detriman	d-e-t-r-i-m-an
vektoryèl	v-e-k-t-o-r-y-è-l
wikipedya	w-i-k-i-p-e-d-y-a
parantal	p-a-r-an-t-a-l
amiral	a-m-i-r-a-l
dekadans	d-e-k-a-d-an-s
powetik	p-o-w-e-t-i-k
eblouyi	e-b-l-ou-y-i
vwal	v-w-a-l
difize	d-i-f-i-z-e
nevyèm	n-e-v-y-è-m
gouvènman	g-ou-v-è-n-m-an
pasyans	p-a-s-y-an-s
imigran	i-m-i-g-r-an
Venis	V-e-n-i-s
maryonèt	m-a-r-y-o-n-è-t
Toyota	T-o-y-o-t-a
enflyanse	en-f-l-y-an-s-e
konparezon	k-on-p-a-r-e-z-on
Renòl	R-e-n-ò-l
nannanan	n-an-n-a-n-an
sitwonèl	s-i-t-w-o-n-è-l
ramolisan	r-a-m-o-l-i-s-an
anbasadè	an-b-a-s-a-d-è
rapwoche	r-a-p-w-o-ch-e
agresivite	a-g-r-e-s-i-v-i-t-e
sipè	s-i-p-è
porèm	p-o-r-è-m
adisyonèl	a-d-i-s-y-o-n-è-l
Michèl	M-i-ch-è-l
kannteris	k-an-n-t-e-r-i-s
kwaze	k-w-a-z-e
konjige	k-on-j-i-g-e
klasifye	k-l-a-s-i-f-y-e
doum	d-ou-m
kanadyen	k-a-n-a-d-y-en
fonèm	f-o-n-è-m
kòbòy	k-ò-b-ò-y
restavèk	r-e-s-t-a-v-è-k
sapat	s-a-p-a-t
Marilèn	M-a-r-i-l-è-n
garyon	g-a-r-y-on
reflete	r-e-f-l-e-t-e
Bebi	B-e-b-i
topi	t-o-p-i
chabwak	ch-a-b-w-a-k
byèl	b-y-è-l
bout	b-ou-t
kowosòl	k-o-w-o-s-ò-l
konpanse	k-on-p-an-s-e
fawouch	f-a-w-ou-ch
kondi	k-on-d-i
merit	m-e-r-i-t
sivoke	s-i-v-o-k-e
Akab	A-k-a-b
advèsè	a-d-v-è-s-è
vast	v-a-s-t
okipan	o-k-i-p-an
remanye	r-e-m-a-n-y-e
eklè	e-k-l-è
doukla	d-ou-k-l-a
vwazin	v-w-a-z-i-n
resisite	r-e-s-i-s-i-t-e
Sekakavajal	S-e-k-a-k-a-v-a-j-a-l
va	v-a
plato	p-l-a-t-o
enseparab	en-s-e-p-a-r-a-b
sousa	s-ou-s-a
siyon	s-i-y-on
bagèt	b-a-g-è-t
konparab	k-on-p-a-r-a-b
litani	l-i-t-a-n-i
kokobe	k-o-k-o-b-e
direktwa	d-i-r-e-k-t-w-a
anbigite	an-b-i-g-i-t-e
koutize	k-ou-t-i-z-e
elastisite	e-l-a-s-t-i-s-i-t-e
swansantyèm	s-w-an-s-an-t-y-è-m
lawouli	l-a-w-ou-l-i
nourisman	n-ou-r-i-s-m-an
galri	g-a-l-r-i
machwa	m-a-ch-w-a
solidifye	s-o-l-i-d-i-f-y-e
Atèn	A-t-è-n
pozisyonnman	p-o-z-i-s-y-on-n-m-an
boufi	b-ou-f-i
terib	t-e-r-i-b
egzan	e-g-z-an
pwen	p-w-en
rechanj	r-e-ch-an-j
Aznavou	A-z-n-a-v-ou
lojik	l-o-j-i-k
bwa	b-w-a
bekonn	b-e-k-on-n
Vòlvik	V-ò-l-v-i-k
dezantere	d-e-z-an-t-e-r-e
pèt	p-è-t
notifye	n-o-t-i-f-y-e
pèmisyon	p-è-m-i-s-y-on
pan	p-an
Neyèlandè	N-e-y-è-l-an-d-è
vole	v-o-l-e
rennye	r-en-n-y-e
mesken	m-e-s-k-en
lèfini	l-è-f-i-n-i
foumi	f-ou-m-i
dozado	d-o-z-a-d-o
montan	m-on-t-an
ankourajan	an-k-ou-r-a-j-an
djonp	d-j-on-p
jideyokretyen	j-i-d-e-y-o-k-r-e-t-y-en
Tomond	T-o-m-on-d
radote	r-a-d-o-t-e
antwopològ	an-t-w-o-p-o-l-ò-g
lite	l-i-t-e
bouke	b-ou-k-e
jewometri	j-e-w-o-m-e-t-r-i
patisyon	p-a-t-i-s-y-on
lach	l-a-ch
mwayennaj	m-w-a-y-en-n-a-j
absoliman	a-b-s-o-l-i-m-an
lapawòl	l-a-p-a-w-ò-l
Florans	F-l-o-r-an-s
Dyemafi	D-y-e-m-a-f-i
eliminine	e-l-i-m-i-n-i-n-e
konpozan	k-on-p-o-z-an
Seda	S-e-d-a
nounous	n-ou-n-ou-s
Zefiren	Z-e-f-i-r-en
powo	p-o-w-o
konesè	k-o-n-e-s-è
aswè	a-s-w-è
pouding	p-ou-d-i-ng
sizoka	s-i-z-o-k-a
endividyalis	en-d-i-v-i-d-y-a-l-i-s
endike	en-d-i-k-e
kontribisyon	k-on-t-r-i-b-i-s-y-on
siye	s-i-y-e
landmen	l-an-d-m-en
sizèdtan	s-i-z-è-d-t-an
souveren	s-ou-v-e-r-en
avyasyon	a-v-y-a-s-y-on
pare	p-a-r-e
konbat	k-on-b-a-t
Pòsali	P-ò-s-a-l-i
imòtèl	i-m-ò-t-è-l
kalme	k-a-l-m-e
Mezopotami	M-e-z-o-p-o-t-a-m-i
restitisyon	r-e-s-t-i-t-i-s-y-on
Mèmòt	M-è-m-ò-t
laman	l-a-m-an
legzil	l-e-g-z-i-l
zonbifi	z-on-b-i-f-i
inik	i-n-i-k
deviz	d-e-v-i-z
estrateji	e-s-t-r-a-t-e-j-i
mistifikasyon	m-i-s-t-i-f-i-k-a-s-y-on
abim	a-b-i-m
diskredi	d-i-s-k-r-e-d-i
modere	m-o-d-e-r-e
toufèt	t-ou-f-è-t
Latiki	L-a-t-i-k-i
pistolè	p-i-s-t-o-l-è
manipile	m-a-n-i-p-i-l-e
kalkilatris	k-a-l-k-i-l-a-t-r-i-s
Grigri	G-r-i-g-r-i
filozofe	f-i-l-o-z-o-f-e
reziyasyon	r-e-z-i-y-a-s-y-on
landrèt	l-an-d-r-è-t
asiyasyon	a-s-i-y-a-s-y-on
gran	g-r-an
nanm	n-an-m
byento	b-y-en-t-o
ponpe	p-on-p-e
sereyal	s-e-r-e-y-a-l
itiize	i-t-i-i-z-e
pwosesyon	p-w-o-s-e-s-y-on
Karakòl	K-a-r-a-k-ò-l
lodevi	l-o-d-e-v-i
pwivileje	p-w-i-v-i-l-e-j-e
entegre	en-t-e-g-r-e
ilan	i-l-an
fratènèlman	f-r-a-t-è-n-è-l-m-an
pouvwa	p-ou-v-w-a
debri	d-e-b-r-i
rechèche	r-e-ch-è-ch-e
chwèt	ch-w-è-t
krentif	k-r-en-t-i-f
efektiv	e-f-e-k-t-i-v
pouchon	p-ou-ch-on
Dèpal	D-è-p-a-l
batayon	b-a-t-a-y-on
aksede	a-k-s-e-d-e
ta	t-a
nonpli	n-on-p-l-i
kloure	k-l-ou-r-e
manmzèl	m-an-m-z-è-l
fakze	f-a-k-z-e
envokasyon	en-v-o-k-a-s-y-on
reflè	r-e-f-l-è
wat	w-a-t
zidòl	z-i-d-ò-l
afwonte	a-f-w-on-t-e
mefyans	m-e-f-y-an-s
disètasyon	d-i-s-è-t-a-s-y-on
lapèch	l-a-p-è-ch
fete	f-e-t-e
teworisyen	t-e-w-o-r-i-s-y-en
siprime	s-i-p-r-i-m-e
galonnen	g-a-l-on-n-en
Galile	G-a-l-i-l-e
envilnerab	en-v-i-l-n-e-r-a-b
Larak	L-a-r-a-k
Yougoslavi	Y-ou-g-o-s-l-a-v-i
mizisyen	m-i-z-i-s-y-en
repwodiktif	r-e-p-w-o-d-i-k-t-i-f
epay	e-p-a-y
denonse	d-e-n-on-s-e
pini	p-i-n-i
atrap	a-t-r-a-p
Poula	P-ou-l-a
polivalans	p-o-l-i-v-a-l-an-s
medsin	m-e-d-s-i-n
nouvèl	n-ou-v-è-l
zozo	z-o-z-o
eklerasyon	e-k-l-e-r-a-s-y-on
Latibonit	L-a-t-i-b-o-n-i-t
kloti	k-l-o-t-i
kakofoni	k-a-k-o-f-o-n-i
kizinyèz	k-i-z-i-n-y-è-z
desidè	d-e-s-i-d-è
newològ	n-e-w-o-l-ò-g
kapwonnen	k-a-p-w-on-n-en
òganizayson	ò-g-a-n-i-z-a-y-s-on
trwazyèm	t-r-w-a-z-y-è-m
kolin	k-o-l-i-n
rapyese	r-a-p-y-e-s-e
jiskaprezan	j-i-s-k-a-p-r-e-z-an
rasyonalis	r-a-s-y-o-n-a-l-i-s
valid	v-a-l-i-d
sòf	s-ò-f
Lagoslin	L-a-g-o-s-l-i-n
Zakou	Z-a-k-ou
Yoni	Y-o-n-i
Mezidò	M-e-z-i-d-ò
Sizèt	S-i-z-è-t
oganizatè	o-g-a-n-i-z-a-t-è
demand	d-e-m-an-d
bwaze	b-w-a-z-e
devine	d-e-v-i-n-e
Jenèv	J-e-n-è-v
Silas	S-i-l-a-s
Kesnel	K-e-s-n-e-l
fratènite	f-r-a-t-è-n-i-t-e
Anslo	An-s-l-o
glas	g-l-a-s
Katya	K-a-t-y-a
preyalab	p-r-e-y-a-l-a-b
kachèt	k-a-ch-è-t
goutyè	g-ou-t-y-è
akizatè	a-k-i-z-a-t-è
ranfòse	r-an-f-ò-s-e
chèvrèt	ch-è-v-r-è-t
kijou	k-i-j-ou
jouka	j-ou-k-a
tranche	t-r-an-ch-e
karann	k-a-r-an-n
Selasye	S-e-l-a-s-y-e
dènye	d-è-n-y-e
bonè	b-o-n-è
sware	s-w-a-r-e
Jòj	J-ò-j
Nadal	N-a-d-a-l
moul	m-ou-l
gòjfèmal	g-ò-j-f-è-m-a-l
telesant	t-e-l-e-s-an-t
enkapab	en-k-a-p-a-b
kilo	k-i-l-o
respiratwa	r-e-s-p-i-r-a-t-w-a
pil	p-i-l
flokon	f-l-o-k-on
detid	d-e-t-i-d
pandil	p-an-d-i-l
lagè	l-a-g-è
yayad	y-a-y-a-d
anòmal	a-n-ò-m-a-l
dwat	d-w-a-t
etidyan	e-t-i-d-y-an
out	ou-t
dòz	d-ò-z
sosyalman	s-o-s-y-a-l-m-an
Westèn	W-e-s-t-è-n
reyon	r-e-y-on
pretekste	p-r-e-t-e-k-s-t-e
estatè	e-s-t-a-t-è
atitid	a-t-i-t-i-d
rive	r-i-v-e
apriyori	a-p-r-i-y-o-r-i
sansi	s-an-s-i
reyalizatè	r-e-y-a-l-i-z-a-t-è
frèzesè	f-r-è-z-e-s-è
divinèz	d-i-v-i-n-è-z
ankèt	an-k-è-t
zoum	z-ou-m
milèt	m-i-l-è-t
kataloge	k-a-t-a-l-o-g-e
melas	m-e-l-a-s
esteryo	e-s-t-e-r-y-o
chadèk	ch-a-d-è-k
depeche	d-e-p-e-ch-e
fayit	f-a-y-i-t
Chavann	Ch-a-v-an-n
krisyanis	k-r-i-s-y-a-n-i-s
obteni	o-b-t-e-n-i
konpatriyòt	k-on-p-a-t-r-i-y-ò-t
monopolis	m-o-n-o-p-o-l-i-s
Jewòm	J-e-w-ò-m
kontanporen	k-on-t-an-p-o-r-en
degre	d-e-g-r-e
farenayt	f-a-r-e-n-a-y-t
djèdjè	d-j-è-d-j-è
Madonna	M-a-d-on-n-a
enkonpetans	en-k-on-p-e-t-an-s
salsa	s-a-l-s-a
pèdan	p-è-d-an
irinè	i-r-i-n-è
famasyen	f-a-m-a-s-y-en
Souz	S-ou-z
giyotin	g-i-y-o-t-i-n
tanponnen	t-an-p-on-n-en
makfabrik	m-a-k-f-a-b-r-i-k
anseye	an-s-e-y-e
sanglan	s-an-g-l-an
finisman	f-i-n-i-s-m-an
eskonte	e-s-k-on-t-e
eskiz	e-s-k-i-z
ebranle	e-b-r-an-l-e
babako	b-a-b-a-k-o
jeneral	j-e-n-e-r-a-l
defoule	d-e-f-ou-l-e
makòmè	m-a-k-ò-m-è
piston	p-i-s-t-on
dikton	d-i-k-t-on
Kalòs	K-a-l-ò-s
poto	p-o-t-o
Rejinal	R-e-j-i-n-a-l
konstitisyon	k-on-s-t-i-t-i-s-y-on
anile	a-n-i-l-e
ranvwa	r-an-v-w-a
plebisit	p-l-e-b-i-s-i-t
anglo	an-g-l-o
detraktè	d-e-t-r-a-k-t-è
remake	r-e-m-a-k-e
kasav	k-a-s-a-v
kreyansye	k-r-e-y-an-s-y-e
islamis	i-s-l-a-m-i-s
divilgasyon	d-i-v-i-l-g-a-s-y-on
Maryèl	M-a-r-y-è-l
detonasyon	d-e-t-o-n-a-s-y-on
dispatch	d-i-s-p-a-t-ch
bezwen	b-e-z-w-en
memorize	m-e-m-o-r-i-z-e
isye	i-s-y-e
alekri	a-l-e-k-r-i
Soufriye	S-ou-f-r-i-y-e
pwogresiv	p-w-o-g-r-e-s-i-v
afiche	a-f-i-ch-e
ekspòtatè	e-k-s-p-ò-t-a-t-è
sanktyè	s-an-k-t-y-è
espektatè	e-s-p-e-k-t-a-t-è
parite	p-a-r-i-t-e
istoryen	i-s-t-o-r-y-en
doute	d-ou-t-e
etewojèn	e-t-e-w-o-j-è-n
pèsevere	p-è-s-e-v-e-r-e
inovasyon	i-n-o-v-a-s-y-on
reyanboche	r-e-y-an-b-o-ch-e
moulinen	m-ou-l-i-n-en
twous	t-w-ou-s
Irigwe	I-r-i-g-w-e
dawout	d-a-w-ou-t
galimatya	g-a-l-i-m-a-t-y-a
reenfeksyon	r-e-en-f-e-k-s-y-on
aterisaj	a-t-e-r-i-s-a-j
Monèl	M-o-n-è-l
janmè	j-an-m-è
donminen	d-on-m-i-n-en
pèsevwa	p-è-s-e-v-w-a
matematik	m-a-t-e-m-a-t-i-k
chalè	ch-a-l-è
eklanmsi	e-k-l-an-m-s-i
milatrès	m-i-l-a-t-r-è-s
natiralizasyon	n-a-t-i-r-a-l-i-z-a-s-y-on
materyo	m-a-t-e-r-y-o
sajès	s-a-j-è-s
Ipolit	I-p-o-l-i-t
gòlkipè	g-ò-l-k-i-p-è
pwofesionèl	p-w-o-f-e-s-i-o-n-è-l
demenajman	d-e-m-e-n-a-j-m-an
refòmatè	r-e-f-ò-m-a-t-è
navige	n-a-v-i-g-e
kanpis	k-an-p-i-s
radyofonik	r-a-d-y-o-f-o-n-i-k
pilwen	p-i-l-w-en
kolonyal	k-o-l-o-n-y-a-l
ebenis	e-b-e-n-i-s
prin	p-r-i-n
lanbilans	l-an-b-i-l-an-s
makaya	m-a-k-a-y-a
elijiblite	e-l-i-j-i-b-l-i-t-e
sekestrasyon	s-e-k-e-s-t-r-a-s-y-on
kontraktyèl	k-on-t-r-a-k-t-y-è-l
Sannchèz	S-an-n-ch-è-z
gwoje	g-w-o-j-e
matinèt	m-a-t-i-n-è-t
familye	f-a-m-i-l-y-e
kwis	k-w-i-s
fòmil	f-ò-m-i-l
li	l-i
gode	g-o-d-e
rebondisman	r-e-b-on-d-i-s-m-an
Dori	D-o-r-i
Simeyon	S-i-m-e-y-on
Bovè	B-o-v-è
egwi	e-g-w-i
natif	n-a-t-i-f
souvan	s-ou-v-an
lanouriti	l-a-n-ou-r-i-t-i
sovaj	s-o-v-a-j
malpwòprete	m-a-l-p-w-ò-p-r-e-t-e
flè	f-l-è
kòl	k-ò-l
swasanndouzyèm	s-w-a-s-an-n-d-ou-z-y-è-m
Deniz	D-e-n-i-z
ozanj	o-z-an-j
transfòme	t-r-an-s-f-ò-m-e
rèl	r-è-l
konvèsyon	k-on-v-è-s-y-on
agrè	a-g-r-è
bankye	b-an-k-y-e
eksede	e-k-s-e-d-e
boloze	b-o-l-o-z-e
flatè	f-l-a-t-è
repiyan	r-e-p-i-y-an
Sousmatla	S-ou-s-m-a-t-l-a
majisyen	m-a-j-i-s-y-en
lyon	l-y-on
cha	ch-a
laryè	l-a-r-y-è
okenn	o-k-en-n
kouto	k-ou-t-o
konjonktirèl	k-on-j-on-k-t-i-r-è-l
remande	r-e-m-an-d-e
brikè	b-r-i-k-è
konsomasyon	k-on-s-o-m-a-s-y-on
anglobe	an-g-l-o-b-e
anch	an-ch
viwonn	v-i-w-on-n
kimen	k-i-m-en
otomobil	o-t-o-m-o-b-i-l
opozisyon	o-p-o-z-i-s-y-on
ajou	a-j-ou
priyoritè	p-r-i-y-o-r-i-t-è
videyografi	v-i-d-e-y-o-g-r-a-f-i
antouraj	an-t-ou-r-a-j
lizibleman	l-i-z-i-b-l-e-m-an
rezèv	r-e-z-è-v
biyolojik	b-i-y-o-l-o-j-i-k
lesklavaj	l-e-s-k-l-a-v-a-j
founo	f-ou-n-o
tanpèt	t-an-p-è-t
mannivèl	m-an-n-i-v-è-l
kaz	k-a-z
lago	l-a-g-o
pwodiksyon	p-w-o-d-i-k-s-y-on
lejislatif	l-e-j-i-s-l-a-t-i-f
konsiste	k-on-s-i-s-t-e
sakle	s-a-k-l-e
brebi	b-r-e-b-i
masaj	m-a-s-a-j
sansoryèl	s-an-s-o-r-y-è-l
laprèmidi	l-a-p-r-è-m-i-d-i
jennman	j-en-n-m-an
repare	r-e-p-a-r-e
kontrandi	k-on-t-r-an-d-i
detèminan	d-e-t-è-m-i-n-an
lajenès	l-a-j-e-n-è-s
mem	m-e-m
